asset,model,sample,n_requested,n_model_valid,n_scored,coverage,mae,rmse
1inch,Persistence,daily_origins,180,178,178,0.9888888888888889,0.21754317940976822,0.3005194302978786
1inch,Historical90,daily_origins,180,178,178,0.9888888888888889,0.17257845827424817,0.25382142782240746
1inch,Ridge,daily_origins,180,178,178,0.9888888888888889,0.3782084710386074,0.46219764533165486
1inch,Persistence,nonoverlap_30d,6,6,6,1.0,0.20708624260684905,0.3063800478788602
1inch,Historical90,nonoverlap_30d,6,6,6,1.0,0.17385923409133622,0.2683336234753379
1inch,Ridge,nonoverlap_30d,6,6,6,1.0,0.4197275625641377,0.492583792140045
Aave,Persistence,daily_origins,180,178,178,0.9888888888888889,0.252290724406293,0.31743759472482175
Aave,Historical90,daily_origins,180,178,178,0.9888888888888889,0.23296459320089333,0.28210790761330623
Aave,Ridge,daily_origins,180,178,178,0.9888888888888889,0.2813392820307328,0.3390579860825889
Aave,Persistence,nonoverlap_30d,6,6,6,1.0,0.2111259716641338,0.29282264153340587
Aave,Historical90,nonoverlap_30d,6,6,6,1.0,0.29752537676926094,0.32417234226037706
Aave,Ridge,nonoverlap_30d,6,6,6,1.0,0.4314840846949625,0.4810562962224552
Algorand,Persistence,daily_origins,180,178,178,0.9888888888888889,0.3278378913158697,0.4353172376999059
Algorand,Historical90,daily_origins,180,178,178,0.9888888888888889,0.3579625479099928,0.4358472465998074
Algorand,Ridge,daily_origins,180,178,178,0.9888888888888889,0.33539028968268814,0.3777739215675824
Algorand,Persistence,nonoverlap_30d,6,6,6,1.0,0.37901777100729656,0.5087028516326997
Algorand,Historical90,nonoverlap_30d,6,6,6,1.0,0.3665742030142676,0.45755103180466616
Algorand,Ridge,nonoverlap_30d,6,6,6,1.0,0.4406849708864402,0.4819423886916896
ApeCoin,Persistence,daily_origins,180,0,0,0.0,,
ApeCoin,Historical90,daily_origins,180,0,0,0.0,,
ApeCoin,Ridge,daily_origins,180,0,0,0.0,,
ApeCoin,Persistence,nonoverlap_30d,6,0,0,0.0,,
ApeCoin,Historical90,nonoverlap_30d,6,0,0,0.0,,
ApeCoin,Ridge,nonoverlap_30d,6,0,0,0.0,,
Arweave,Persistence,daily_origins,180,178,178,0.9888888888888889,0.30424336652014056,0.3920786159428335
Arweave,Historical90,daily_origins,180,178,178,0.9888888888888889,0.23035980191417713,0.30690892727671215
Arweave,Ridge,daily_origins,180,178,178,0.9888888888888889,0.32816415522232073,0.41090983359416317
Arweave,Persistence,nonoverlap_30d,6,6,6,1.0,0.29672372177532463,0.40262711820137775
Arweave,Historical90,nonoverlap_30d,6,6,6,1.0,0.23993270013537446,0.30713608796793784
Arweave,Ridge,nonoverlap_30d,6,6,6,1.0,0.3109122280303382,0.3895895606254939
Axie Infinity,Persistence,daily_origins,180,178,178,0.9888888888888889,0.28019994317534214,0.34931675565614306
Axie Infinity,Historical90,daily_origins,180,178,178,0.9888888888888889,0.24647018584127486,0.3014989329080749
Axie Infinity,Ridge,daily_origins,180,178,178,0.9888888888888889,0.38517584635958696,0.42892837807705364
Axie Infinity,Persistence,nonoverlap_30d,6,6,6,1.0,0.31104977000849704,0.4129968772034155
Axie Infinity,Historical90,nonoverlap_30d,6,6,6,1.0,0.29989810923292537,0.34070233894500584
Axie Infinity,Ridge,nonoverlap_30d,6,6,6,1.0,0.379330305878375,0.4077319030699442
BNB,Persistence,daily_origins,180,178,178,0.9888888888888889,0.23661997576678007,0.28433329958905423
BNB,Historical90,daily_origins,180,178,178,0.9888888888888889,0.21155081987794314,0.24971999721554108
BNB,Ridge,daily_origins,180,178,178,0.9888888888888889,0.17794268977106956,0.20410584288579084
BNB,Persistence,nonoverlap_30d,6,6,6,1.0,0.23996493867353777,0.2989071504193907
BNB,Historical90,nonoverlap_30d,6,6,6,1.0,0.23305745916491552,0.2709557952741493
BNB,Ridge,nonoverlap_30d,6,6,6,1.0,0.23490139631076734,0.2446306244028334
Basic Attention Token,Persistence,daily_origins,180,178,178,0.9888888888888889,0.254276219461225,0.319982001258161
Basic Attention Token,Historical90,daily_origins,180,178,178,0.9888888888888889,0.3295630638824222,0.3749911309653476
Basic Attention Token,Ridge,daily_origins,180,178,178,0.9888888888888889,0.2365385825993895,0.273524997625845
Basic Attention Token,Persistence,nonoverlap_30d,6,6,6,1.0,0.249856136416195,0.3147989421229242
Basic Attention Token,Historical90,nonoverlap_30d,6,6,6,1.0,0.40124376352073127,0.47771462858813707
Basic Attention Token,Ridge,nonoverlap_30d,6,6,6,1.0,0.276448397246752,0.3069377167395801
Binance USD,Persistence,daily_origins,180,178,178,0.9888888888888889,0.0018630202676571473,0.00220870515535876
Binance USD,Historical90,daily_origins,180,178,178,0.9888888888888889,0.0017268782830895983,0.002124858205593612
Binance USD,Ridge,daily_origins,180,178,178,0.9888888888888889,0.011415602537597477,0.012897651481669931
Binance USD,Persistence,nonoverlap_30d,6,6,6,1.0,0.0019408386401372792,0.002340806656666739
Binance USD,Historical90,nonoverlap_30d,6,6,6,1.0,0.00219140274967866,0.00252127903476474
Binance USD,Ridge,nonoverlap_30d,6,6,6,1.0,0.012027618506280232,0.012804585988877067
BitTorrent (New),Persistence,daily_origins,180,178,178,0.9888888888888889,0.9409936994273292,1.1888632529336671
BitTorrent (New),Historical90,daily_origins,180,178,178,0.9888888888888889,0.6116188709832255,0.9692458876271609
BitTorrent (New),Ridge,daily_origins,180,178,178,0.9888888888888889,0.7992646551493517,1.1532064153891886
BitTorrent (New),Persistence,nonoverlap_30d,6,6,6,1.0,1.0109969619956545,1.2347883785897475
BitTorrent (New),Historical90,nonoverlap_30d,6,6,6,1.0,0.6642808274330623,0.9858929768730663
BitTorrent (New),Ridge,nonoverlap_30d,6,6,6,1.0,0.8229985097801461,1.1505747419219248
Bitcoin BEP2,Persistence,daily_origins,180,113,113,0.6277777777777778,0.2122983122967204,0.2387049184954638
Bitcoin BEP2,Historical90,daily_origins,180,113,113,0.6277777777777778,0.1635225116184157,0.1832098642949597
Bitcoin BEP2,Ridge,daily_origins,180,113,113,0.6277777777777778,0.10840290083020092,0.1403608578814792
Bitcoin BEP2,Persistence,nonoverlap_30d,6,3,3,0.5,0.2975372428248328,0.30908551057540384
Bitcoin BEP2,Historical90,nonoverlap_30d,6,3,3,0.5,0.19054754997319936,0.20071399202177384
Bitcoin BEP2,Ridge,nonoverlap_30d,6,3,3,0.5,0.09460266264004058,0.10441694959902549
Bitcoin Gold,Persistence,daily_origins,180,178,178,0.9888888888888889,0.3513307596846929,0.44850946817288506
Bitcoin Gold,Historical90,daily_origins,180,178,178,0.9888888888888889,0.2578975346254109,0.33205781160916353
Bitcoin Gold,Ridge,daily_origins,180,178,178,0.9888888888888889,0.24132797959739133,0.33273345877508087
Bitcoin Gold,Persistence,nonoverlap_30d,6,6,6,1.0,0.29922349057664827,0.3978220335021725
Bitcoin Gold,Historical90,nonoverlap_30d,6,6,6,1.0,0.19294061843163016,0.30760125043662334
Bitcoin Gold,Ridge,nonoverlap_30d,6,6,6,1.0,0.18593924915787619,0.2603776227093278
Bitcoin SV,Persistence,daily_origins,180,178,178,0.9888888888888889,0.17292248928229628,0.2375514108549341
Bitcoin SV,Historical90,daily_origins,180,178,178,0.9888888888888889,0.21728777565787044,0.2592366478834049
Bitcoin SV,Ridge,daily_origins,180,178,178,0.9888888888888889,0.25428826149924183,0.30253935619912403
Bitcoin SV,Persistence,nonoverlap_30d,6,6,6,1.0,0.19094815911992838,0.2590948193231094
Bitcoin SV,Historical90,nonoverlap_30d,6,6,6,1.0,0.2397744262239535,0.2841975790350064
Bitcoin SV,Ridge,nonoverlap_30d,6,6,6,1.0,0.28613177583033106,0.3315261120478093
Celo,Persistence,daily_origins,180,178,178,0.9888888888888889,0.21638167090556884,0.25693476870826526
