asset,date,issue
1inch,2022-08-22,missing_calendar_day
Aave,2020-10-02,invalid_open
Aave,2020-10-02,invalid_low
Aave,2022-08-22,missing_calendar_day
Algorand,2022-08-22,missing_calendar_day
ApeCoin,2021-03-23,missing_calendar_day
ApeCoin,2021-03-24,missing_calendar_day
ApeCoin,2021-03-25,missing_calendar_day
ApeCoin,2021-03-26,missing_calendar_day
ApeCoin,2021-03-27,missing_calendar_day
ApeCoin,2021-03-28,missing_calendar_day
ApeCoin,2021-03-29,missing_calendar_day
ApeCoin,2021-03-30,missing_calendar_day
ApeCoin,2021-03-31,missing_calendar_day
ApeCoin,2021-04-01,missing_calendar_day
ApeCoin,2021-04-02,missing_calendar_day
ApeCoin,2021-04-03,missing_calendar_day
ApeCoin,2021-04-04,missing_calendar_day
ApeCoin,2021-04-05,missing_calendar_day
ApeCoin,2022-08-22,missing_calendar_day
Arweave,2022-08-22,missing_calendar_day
Axie Infinity,2022-08-22,missing_calendar_day
Basic Attention Token,2022-08-22,missing_calendar_day
Binance USD,2022-08-22,missing_calendar_day
Bitcoin BEP2,2021-12-21,missing_calendar_day
Bitcoin BEP2,2021-12-22,missing_calendar_day
Bitcoin BEP2,2021-12-23,missing_calendar_day
Bitcoin BEP2,2021-12-24,missing_calendar_day
Bitcoin BEP2,2021-12-25,missing_calendar_day
Bitcoin BEP2,2021-12-26,missing_calendar_day
Bitcoin BEP2,2021-12-27,missing_calendar_day
Bitcoin BEP2,2021-12-28,missing_calendar_day
Bitcoin BEP2,2021-12-29,missing_calendar_day
Bitcoin BEP2,2021-12-30,missing_calendar_day
Bitcoin BEP2,2021-12-31,missing_calendar_day
Bitcoin BEP2,2022-08-22,missing_calendar_day
Bitcoin Gold,2022-08-22,missing_calendar_day
Bitcoin SV,2022-08-22,missing_calendar_day
bitcoin,2010-07-18,invalid_open
bitcoin,2010-08-30,invalid_low
bitcoin,2010-10-08,invalid_low
bitcoin,2010-12-17,inconsistent_ohlc
bitcoin,2013-04-08,inconsistent_ohlc
bitcoin,2013-10-27,inconsistent_ohlc
bitcoin,2013-11-03,inconsistent_ohlc
bitcoin,2013-11-06,inconsistent_ohlc
bitcoin,2014-02-26,inconsistent_ohlc
bitcoin,2014-03-01,inconsistent_ohlc
bitcoin,2014-03-03,inconsistent_ohlc
bitcoin,2014-08-09,inconsistent_ohlc
bitcoin,2014-08-27,inconsistent_ohlc
bitcoin,2014-11-12,inconsistent_ohlc
bitcoin,2014-11-23,inconsistent_ohlc
bitcoin,2014-12-13,inconsistent_ohlc
bitcoin,2015-01-13,inconsistent_ohlc
bitcoin,2015-09-06,inconsistent_ohlc
bitcoin,2015-10-24,inconsistent_ohlc
bitcoin,2015-10-26,inconsistent_ohlc
bitcoin,2015-11-12,inconsistent_ohlc
bitcoin,2015-11-19,inconsistent_ohlc
bitcoin,2016-01-13,inconsistent_ohlc
bitcoin,2016-02-06,inconsistent_ohlc
bitcoin,2016-05-11,inconsistent_ohlc
bitcoin,2016-06-12,inconsistent_ohlc
bitcoin,2016-06-21,inconsistent_ohlc
bitcoin,2016-08-03,inconsistent_ohlc
bitcoin,2016-09-21,inconsistent_ohlc
bitcoin,2016-10-26,inconsistent_ohlc
bitcoin,2016-10-30,inconsistent_ohlc
bitcoin,2017-02-12,inconsistent_ohlc
bitcoin,2017-04-06,inconsistent_ohlc
BitTorrent (New),2022-08-22,missing_calendar_day
BNB,2022-08-22,missing_calendar_day
Celo,2022-08-22,missing_calendar_day
Celsius,2018-05-04,missing_calendar_day
Celsius,2018-05-05,missing_calendar_day
Celsius,2018-05-06,missing_calendar_day
Celsius,2018-05-07,missing_calendar_day
Celsius,2018-05-08,missing_calendar_day
Celsius,2018-05-09,missing_calendar_day
Celsius,2018-05-10,missing_calendar_day
Celsius,2018-05-11,missing_calendar_day
Celsius,2018-05-12,missing_calendar_day
Celsius,2018-05-13,missing_calendar_day
Celsius,2018-05-14,missing_calendar_day
Celsius,2018-05-15,missing_calendar_day
Celsius,2018-05-16,missing_calendar_day
Celsius,2018-05-17,missing_calendar_day
Celsius,2018-05-18,missing_calendar_day
Celsius,2018-05-19,missing_calendar_day
Celsius,2018-05-20,missing_calendar_day
Celsius,2018-05-21,missing_calendar_day
Celsius,2018-05-22,missing_calendar_day
Celsius,2018-05-23,missing_calendar_day
Celsius,2018-05-24,missing_calendar_day
Celsius,2018-05-25,missing_calendar_day
Celsius,2018-05-26,missing_calendar_day
Celsius,2018-05-27,missing_calendar_day
Celsius,2018-05-28,missing_calendar_day
Celsius,2018-05-29,missing_calendar_day
Celsius,2018-05-30,missing_calendar_day
