asset,model,origin,target_start,target_end,actual,predicted,train_target_end,n_train,status,error,clipped
1inch,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
1inch,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
1inch,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,485,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Aave,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Aave,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Aave,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,569,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Algorand,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Algorand,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Algorand,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,1038,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
ApeCoin,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
ApeCoin,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
ApeCoin,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,436,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Arweave,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Arweave,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Arweave,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,697,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
avalanche,Persistence,2022-08-23,2022-08-24,2022-09-22,,0.8990346798490501,,0,ok,,False
avalanche,Historical90,2022-08-23,2022-08-24,2022-09-22,,1.224118257461943,,0,ok,,False
avalanche,Ridge,2022-08-23,2022-08-24,2022-09-22,,1.208016568797033,2022-08-23,487,ok,,False
Axie Infinity,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Axie Infinity,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Axie Infinity,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,536,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Basic Attention Token,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Basic Attention Token,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Basic Attention Token,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,1627,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Binance USD,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Binance USD,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Binance USD,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,947,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Bitcoin BEP2,Persistence,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Bitcoin BEP2,Historical90,2022-08-23,2022-08-24,2022-09-22,,,,0,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
Bitcoin BEP2,Ridge,2022-08-23,2022-08-24,2022-09-22,,,2022-08-21,910,missing_features,A complete past 90-day return history is required; gaps are not filled.,False
bitcoin cash,Persistence,2022-08-23,2022-08-24,2022-09-22,,1.059022059828618,,0,ok,,False
bitcoin cash,Historical90,2022-08-23,2022-08-24,2022-09-22,,1.0002645391760951,,0,ok,,False
