asset,start,end,calendar_days,valid_close_days,valid_return_days,close_min,close_median,close_mean,close_max,close_std_ddof0,daily_log_return_mean,daily_log_return_std_ddof0,daily_log_return_skew,daily_log_return_excess_kurtosis,annualized_full_history_volatility,median_30d_annualized_volatility,latest_30d_annualized_volatility,latest_30d_volatility_date,max_observed_close_drawdown,reported_volume_median_unverified_units,reported_volume_zero_days,reported_volume_zero_share_of_observed,reported_volume_missing_share_of_calendar
1inch,2020-12-25,2022-08-23,607,606,604,0.5515750050544739,2.4670474529266357,2.623485215032848,7.477116107940674,1.4963065722988522,-0.001988141057697477,0.07866632989448466,-0.4562780464374012,5.41821478459749,1.5029181223738637,1.133735259411262,0.8477959741063525,2022-08-21,-0.9262315848661621,130913190.0,0,0.0,0.0016474464579901153
Aave,2020-10-02,2022-08-23,691,690,688,0.5165709853172302,207.9375991821289,224.80637719518896,632.2664794921875,131.2319659698196,0.007434625696685988,0.19132389182995466,20.57304470556914,497.6185996888944,3.6552378210604117,1.2834581799273117,1.1341927194148584,2022-08-21,-0.9218236711093504,293907061.0,4,0.005797101449275362,0.001447178002894356
Algorand,2019-06-21,2022-08-23,1160,1159,1157,0.126470997929573,0.4620310068130493,0.7046669408151875,3.2014119625091553,0.5228521468552164,-0.0020269691442608936,0.07078712876333156,-0.744498646998218,10.050437316583938,1.3523861961263564,1.089294382679699,0.6729744706213402,2022-08-21,-0.9604952441576905,121564194.0,0,0.0,0.0008620689655172414
ApeCoin,2020-10-01,2022-08-23,692,677,674,0.0012850000057369,0.0536100007593631,0.12622841829268955,2.9127109050750732,0.2439377171832355,-0.003480471278677565,0.27023752646667043,5.1639569942097765,167.0153568671919,5.162880693900538,1.8917152861071769,1.3878675897432289,2022-08-21,-0.9995588302280539,906.0,54,0.07976366322008863,0.02167630057803468
Arweave,2020-05-27,2022-08-23,819,818,816,0.5431709885597229,14.315003395080566,20.886464360072154,86.2794418334961,19.192844256476228,0.0038600143361116022,0.08649685751546693,0.7037733083854367,3.009131171654652,1.6525201425152465,1.4339296125060237,0.9487798070637011,2022-08-21,-0.9076214932346163,21510593.0,0,0.0,0.001221001221001221
avalanche,2020-12-25,2022-08-23,607,607,606,2.9,33.05,46.22535420098847,134.78,31.80366466556252,0.003373789889283605,0.08286983028491433,0.3944521007319898,5.750375434852092,1.5832258845722027,1.320634326501083,0.8990346798490501,2022-08-23,-0.890043033090963,2855750.0,0,0.0,0.0
Axie Infinity,2020-11-04,2022-08-23,658,657,655,0.1351040005683899,18.818330764770508,39.219382072057535,160.35926818847656,42.03027083069478,0.007018280429976732,0.09627397091673535,0.9408532203376061,4.606271528031723,1.8393116317709426,1.551336616260365,1.0897203970497498,2022-08-21,-0.9196969257243938,210398594.0,0,0.0,0.001519756838905775
Basic Attention Token,2017-11-09,2022-08-23,1749,1748,1746,0.1055390015244484,0.27517150342464447,0.4176468519191311,1.7662999629974363,0.31042606233285563,0.0004782160008599495,0.0668201155596849,-0.11497548084150833,5.229658108017912,1.2765965152876297,1.0844323920936325,0.6914668985560807,2022-08-21,-0.8816776919910998,68790965.0,0,0.0,0.0005717552887364208
Binance USD,2019-09-20,2022-08-23,1069,1068,1066,0.970005989074707,1.000174045562744,1.0007706928007611,1.0523560047149658,0.003109872767144547,-1.3020251745887127e-06,0.0037221401701135475,-0.4997255769445237,102.22322982815983,0.0711113881019075,0.02127165648970854,0.01708164312321637,2022-08-21,-0.07825300114343303,3075904871.0,0,0.0,0.0009354536950420954
Bitcoin BEP2,2019-06-18,2022-08-23,1163,1151,1148,4936.75537109375,20902.404296875,26496.73308239099,67502.421875,17944.313429016307,0.0007435077438643127,0.054242114510443064,-0.22211055925856923,18.07902547234337,1.0362941426524934,0.7386575075997763,0.5786644014961118,2022-08-21,-0.7183651686108484,1864334.0,3,0.0026064291920069507,0.010318142734307825
bitcoin cash,2017-08-03,2022-08-23,1847,1847,1846,78.35,362.76,499.95807255008117,3708.9,426.26532522489333,-0.0005290153059408104,0.07014681918631187,0.09524287183331759,11.080029236434145,1.3401530988339925,1.0009908586511886,1.059022059828618,2022-08-23,-0.9788751381811319,953600.0,0,0.0,0.0
Bitcoin Gold,2017-11-09,2022-08-23,1749,1748,1746,4.927590847015381,23.088563919067383,40.76369232416698,453.4549865722656,57.85844753902561,-0.0010540493298782877,0.0725512894301225,1.2865271970468242,19.825158995955814,1.386090438340981,0.9651142747363287,1.4304472132088064,2022-08-21,-0.9891332304353652,18334966.0,0,0.0,0.0005717552887364208
Bitcoin SV,2018-11-09,2022-08-23,1384,1383,1381,42.75130081176758,146.9085235595703,145.06307092199097,441.3943481445313,66.87148385595142,-0.00016256194479491657,0.07564997250086848,1.3058234601658327,29.075712093963176,1.4452906952839928,0.9642402213329706,0.7345890455076427,2022-08-21,-0.8948791743555032,417095458.0,0,0.0,0.000722543352601156
bitcoin,2010-07-18,2022-08-23,4420,4420,4419,0.1,685.0,8306.969457013574,67527.9,14597.39507949201,0.0027765263386874774,0.0644394522607092,2.6019501981181468,88.25382274814095,1.2311140068230806,0.66838153510944,0.589919503011857,2022-08-23,-0.9324324324324325,67620.5,6,0.0013574660633484162,0.0
BitTorrent (New),2019-01-31,2022-08-23,1301,1300,1298,0.0001849999971454,0.00078150001354515,0.001526805683589811,0.0106769995763897,0.0016733825877928133,0.0005450743075788939,0.07188533952429443,0.22935931112239277,26.116118104138316,1.3733674832545464,0.9445282548850253,0.9774713565665374,2022-08-21,-0.964971432941504,72538419.0,0,0.0,0.0007686395080707148
BNB,2017-11-09,2022-08-23,1749,1748,1746,1.5103600025177002,22.324905395507812,136.79086951471575,675.68408203125,185.58848893933828,0.0028763412654280755,0.060129907489187735,0.3814179614121309,14.312608946887542,1.1487802695686717,0.8326997960602832,0.6266679833935993,2022-08-21,-0.8010241823092697,318965471.0,0,0.0,0.0005717552887364208
cardano,2017-12-31,2022-08-23,1697,1697,1696,0.0232,0.1394,0.5072793164407778,2.9652,0.6522537848213632,-0.00025745907121470864,0.06165388656579462,-0.1319747305521499,5.81138134893064,1.177895848945811,0.9973047510940826,0.7505551001707204,2022-08-23,-0.9789912161550304,290252800.0,5,0.0029463759575721863,0.0
Celo,2020-05-22,2022-08-23,824,823,821,0.7978339791297913,2.8286280632019043,3.059803168365182,7.638002872467041,1.53587723719521,0.0001365088725663131,0.08447581560677682,3.8053404844930836,41.75498357957071,1.613908191065095,1.09748101612809,0.8723315616642094,2022-08-21,-0.8955441635135056,29354089.0,0,0.0,0.0012135922330097086
Celsius,2018-05-03,2022-08-23,1574,1422,1419,0.0262209996581077,0.4582604914903641,1.9644265369971907,8.013615608215332,2.3390332136214793,0.0025704659165171387,0.07830931607313447,1.1312666660616442,19.40205773797714,1.4960973828940274,1.0637031526513077,2.4153631979503354,2022-08-21,-0.9650122956282277,1684782.0,0,0.0,0.096569250317662
chainlink,2018-02-02,2022-08-23,1664,1664,1663,0.16,4.07,9.600450721153846,52.26,10.801203602191057,0.0016042062173076464,0.07121199553795303,-0.31099223157670414,7.1172065014261,1.3605032644582542,1.1838277445622176,0.8739115176724883,2022-08-23,-0.8867202449292002,5858407.5,6,0.003605769230769231,0.0
Chiliz,2019-07-01,2022-08-23,1150,1145,1142,0.00412999978289,0.0211989991366863,0.1373333655021206,0.7739160060882568,0.16132105949267816,0.002216931170715502,0.08201899223754618,0.6686752733341507,15.480607592559235,1.5669706465013538,1.1830836966211264,1.2292105108273363,2022-08-21,-0.8877617170496104,56448354.0,0,0.0,0.004347826086956522
Compound,2018-08-16,2022-01-23,1257,543,516,9.999999974752427e-07,4.999999873689376e-06,3.65598529724878e-05,0.0033080000430345,0.00014656333270651362,-0.017144308865443457,0.45091071390721266,0.2412058873925463,32.383615395040955,8.61463709331124,2.8248018394613457,3.41921384804698,2021-06-05,-0.9996977025439946,62.0,121,0.13519553072625698,0.28798727128082735
Convex Finance,2021-05-18,2022-08-23,463,462,460,2.03118896484375,11.362502098083496,16.40059788608964,50.01968765258789,11.902186271206292,-0.0011428704552576574,0.1077265910857218,0.4450390765028708,2.5306528477044474,2.0581136328776566,1.7448500346631555,1.1655064264391313,2022-08-21,-0.9312926749042373,14607354.0,0,0.0,0.0021598272138228943
cosmos,2019-05-15,2021-09-06,846,846,845,1.6194,4.79315,7.590362293144208,29.4726,6.427953337883196,0.002098037385868422,0.0700596549836589,-1.0854893417598492,11.746140502076262,1.338487829080527,1.0762023981814883,1.1318686479979316,2021-09-06,-0.7687199188791614,325781.0,1,0.001182033096926714,0.0
Cronos,2018-12-14,2022-08-23,1349,1348,1346,0.0121330004185438,0.10651550069451324,0.14730150043654863,0.900518000125885,0.14505969913812458,0.0013932186932001521,0.06705408516475696,2.0714288984426577,29.24592939442236,1.28106649831619,0.871978666452594,0.8226270522690432,2022-08-21,-0.8816436752660893,38796789.0,0,0.0,0.0007412898443291327
Curve DAO Token,2020-08-14,2022-08-23,740,739,737,0.3384830057621002,2.1815309524536133,2.261633593432797,11.611473083496094,1.311385802335619,-0.0032907181517950867,0.09661161606897306,-0.3358439064611754,4.145821387511669,1.8457623333469584,1.6220357956943277,1.1925628644915411,2022-08-21,-0.9708492623349227,191725423.0,0,0.0,0.0013513513513513514
dai,2018-02-02,2022-08-23,1664,1661,1658,0.918,1.0003,1.001005418422637,1.0795,0.012220614319636532,-3.36045224368152e-05,0.007587029381212845,-0.2606097577612954,15.258626555275635,0.14494999280253945,0.06772100552860452,0.005520903018903787,2022-08-23,-0.11475409836065564,66915.0,24,0.014449127031908489,0.0018028846153846155
Dash,2017-11-09,2022-08-23,1749,1748,1746,39.87370681762695,115.50516128540039,183.51318842104425,1550.8499755859375,196.16623440773702,-0.0011107406167414405,0.06089581679483687,0.2053121050256492,9.974905744898622,1.1634129463072311,0.9403694831727233,0.8211942709146529,2022-08-21,-0.9742891269656422,255103663.0,0,0.0,0.0005717552887364208
Decentraland,2017-11-09,2022-08-23,1749,1748,1746,0.010505000129342,0.08459749817848206,0.5360860870106815,5.479180812835693,0.9105990895164338,0.002309524233277804,0.08297262645899818,1.8045640595303836,22.570267989536692,1.5851898027205202,1.184028820399425,0.8324060268570066,2022-08-21,-0.9251837387815656,17926435.0,0,0.0,0.0005717552887364208
Decred,2017-11-09,2022-08-23,1749,1748,1746,9.287368774414062,35.99755859375,56.166512900140795,246.9046936035156,48.58744873510684,-6.424759571378303e-05,0.061011239517944085,0.4447927087847851,15.431899687708858,1.1656180943359273,0.9645092104300089,2.773375362304096,2022-08-21,-0.9243311404762887,6330160.5,0,0.0,0.0005717552887364208
dogecoin,2017-06-03,2022-08-23,1908,1908,1907,0.000774,0.003259,0.054678012578616354,0.68688,0.09827830266773747,0.0016031321960939121,0.15658554265351393,0.5161722656756631,521.4743855650458,2.991562591916611,1.0063997131416422,0.9110630081565292,2022-08-23,-0.9893070135197128,1787418496.0,1,0.0005241090146750524,0.0
eCash,2021-07-08,2022-08-23,412,411,409,1.8999999156221747e-05,7.999999797903001e-05,9.996541781249288e-05,0.0003300000098533,6.613698756051003e-05,0.001053258929340411,0.07904159882278888,1.3847572281003917,13.076472044671869,1.5100876251823554,0.9277107062147483,0.6760071896466032,2022-08-21,-0.9030303061704961,28275183.0,0,0.0,0.0024271844660194173
Elrond,2020-09-04,2022-08-23,719,718,716,6.942005157470703,127.40461730957031,126.70855144670747,490.3490905761719,91.21501592519468,0.0015789226844947532,0.07057670453165009,-0.1388859432274871,3.6291536572591263,1.3483660468248082,1.1875044335596423,0.792112805229364,2022-08-21,-0.9151063396581938,93201238.5,0,0.0,0.0013908205841446453
Enjin Coin,2017-11-09,2022-08-23,1749,1748,1746,0.0182450003921985,0.1543230041861534,0.5997331173679188,4.685819149017334,0.8444922554211818,0.0018099420917904356,0.08293849922167641,1.1816998427641294,14.19158549138436,1.5845378027669668,1.1616832504882455,0.8086627572161711,2022-08-21,-0.9500176141997037,12250951.0,0,0.0,0.0005717552887364208
EOS,2017-11-09,2022-08-23,1749,1748,1746,0.8899109959602356,3.6336004734039307,4.473722716968174,21.542600631713867,2.9159829945333273,0.00016274567131688254,0.06671841208087831,-0.04124979407644884,8.138584023531756,1.2746534730532724,1.0036345954671948,1.112327705769727,2022-08-21,-0.9586906422685961,1390618513.5,0,0.0,0.0005717552887364208
ethereum classic,2016-07-28,2022-08-23,2218,2218,2217,0.7435,9.5251,16.65342980162308,133.8455,17.532370773344937,0.0013541707057697578,0.06650514832909754,0.20717704145252788,8.827528719051115,1.2705790747963983,1.0407525720736484,1.5799092918021824,2022-08-23,-0.9197597836572383,6527987.0,12,0.005410279531109108,0.0
ethereum,2016-03-10,2022-08-23,2358,2358,2357,6.7,280.115,848.2705131467345,4808.38,1150.0179015561125,0.002090931773567643,0.05638426231841201,-0.5781381805419039,8.13018159990453,1.0772198190596458,0.9125194264619558,0.9330571485336834,2022-08-23,-0.939268115942029,1429778.5,8,0.0033927056827820186,0.0
Fantom,2018-10-30,2022-08-23,1394,1393,1391,0.0022879999596625,0.0238099992275238,0.4140335799563256,3.3008229732513428,0.7181536805805714,0.0019143341879591389,0.0921607947209706,-0.03139205124928627,6.70117861629009,1.7607295108886891,1.4421524467600517,1.0310670315007748,2022-08-21,-0.9337598801190133,10713908.0,0,0.0,0.0007173601147776184
Fei USD,2021-04-03,2022-08-23,508,507,505,0.7128379940986633,0.9950199723243712,0.9860077267567787,1.0215920209884644,0.039828995007127055,0.00020199764988776343,0.013172877999730817,2.0069011566575834,35.14260851684877,0.25166748081638224,0.08679989078858893,0.07301128800903167,2022-08-21,-0.19857219854123886,26185576.0,0,0.0,0.001968503937007874
Filecoin,2017-12-13,2022-08-23,1715,1714,1712,2.4017539024353027,9.260395050048828,23.202513510732974,191.35655212402344,31.165044988451797,-0.00034109512922138655,0.09743409409553352,0.5677800897998727,9.404189571436309,1.861475753981047,1.4488473929831485,1.6653875957811954,2022-08-21,-0.9734440350743173,9947812.0,0,0.0,0.0005830903790087463
Flow,2021-01-27,2022-08-23,574,573,571,1.2687870264053345,10.089499473571776,13.145939858171952,39.03781509399414,9.7773520669509,-0.002022089060495765,0.07304543790785167,0.5427021832706387,4.3864010784925185,1.3955311317522379,1.2128257081820515,1.6327518683426547,2022-08-21,-0.9674985133427579,87706611.0,0,0.0,0.0017421602787456446
ftx token,2019-12-20,2022-08-23,978,978,977,2.0147,27.332,25.071652862985687,79.7416,20.424770269214815,0.0026117643290509687,0.049281355976657386,-0.029466681322997595,5.331354219897759,0.9415189839391338,0.7897302836648428,0.7339100720160588,2022-08-23,-0.7138256568716956,64640.5,0,0.0,0.0
Gala,2020-09-18,2022-08-23,705,674,668,0.0002050000039162,0.04917700029909605,0.1047173199164693,0.7120890021324158,0.141047687323394,0.008174112349192016,0.12605054343453434,3.3915982278229033,25.9789940247853,2.4081922509533205,1.649836620850545,1.0430927882912058,2022-08-21,-0.9335560593648329,57034272.5,0,0.0,0.04397163120567376
